,Return,Return-7,Return+1,Return-30,target_multi,target_bin,Month,DayOfW,Return_eth,Return_bnb,Return_ada,Return_lite,Trend_Bitcoins,R_eth,R_bnb,R_ada,R_lite,Date,avg-block-size,cost-per-transaction,hash-rate,miners-revenue,mvrv,my-wallet-n-users,n-transactions-per-block,nvt,transaction-fees-usd
0,10.4617,-6.5967,1.1626,12.4782,0.0,1.0,11,0,3.1564,10.5248,5.9268,3.7527,8.58,0.4338225200191353,0.980501244838944,0.9164637350005692,0.736908767425448,2017-11-13,,,,,,,,,
1,1.1319,-7.1193,10.2444,16.8638,1.0,1.0,11,1,6.5879,-5.7243,1.6785,1.6818,7.0200000000000005,0.32660739964290153,0.6816754965529812,0.7044089717862015,0.4744494185600586,2017-11-14,,,,,,,,,
2,10.2608,-1.9324,7.6023,27.7692,1.0,1.0,11,2,-1.3632,-3.6101,1.2598,1.6701,7.41,0.7804038946408363,-0.12008841554944308,0.5137317572208904,0.8886269368035659,2017-11-15,,,,,,,,,
3,7.4892,10.1925,-2.0669,40.4277,-1.0,0.0,11,3,-0.7554,1.3964,3.7505,11.3637,7.41,0.6744111867052123,-0.023916634903018548,0.938001713147748,0.9426282157376319,2017-11-16,,,,,,,,,
4,-1.8409,16.4827,1.0528,37.8898,0.0,1.0,11,4,0.6745,-4.4106,-5.0473,-4.0872,9.75,0.33509685946076684,-0.713417931955656,0.5403265334152662,0.926719494688038,2017-11-17,,,,,,,,,
5,1.2074,22.5329,3.1622,36.4653,1.0,1.0,11,5,4.7087,10.783,3.016,3.321,7.800000000000002,-0.009064721768521347,0.07518566097517247,0.3310508100867097,0.9070197121709328,2017-11-18,,,,,,,,,
6,3.4826,35.0655,2.0426,33.6864,1.0,1.0,11,6,2.0106,-3.5611,7.0152,2.9886,6.63,0.5720666278058908,0.531782180266754,0.6298420202785692,0.9781967110126585,2017-11-19,,,,,,,,,
7,2.0098,25.0195,-1.5777,35.9613,0.0,0.0,11,0,3.5685,-0.0701,5.076,1.176,8.19,0.8524390270748613,0.390631399879161,0.9819916932539913,0.8987299418957452,2017-11-20,,,,,,,,,
8,-1.6389,21.633,2.2585,34.3325,1.0,1.0,11,1,-1.9165,-5.0725,-4.2485,-3.0036,8.97,0.9547060794531491,0.2773538520692882,0.9971877148372494,0.8902977599021245,2017-11-21,,,,,,,,,
9,2.1738,12.8222,-2.6023,39.1755,-1.0,0.0,11,2,5.6451,1.3367,0.5282,2.4374,7.800000000000002,0.913149048010544,-0.6150542315475402,0.9066738321490382,0.8132442890083598,2017-11-22,,,,,,,,,
10,-2.3518,2.1225,2.6735,45.4549,1.0,1.0,11,3,7.5312,-3.8433,-3.8402,1.7343,6.63,-0.037590566654716696,0.6103429652003289,0.7106060894346204,0.07966261217760225,2017-11-23,,,,,,,,,
11,2.2253,7.0658,6.509,43.5225,1.0,1.0,11,4,15.1297,9.441,3.5613,6.5987,7.0200000000000005,0.3226383766126333,0.8093254411307854,0.583100019791014,0.4671319194856547,2017-11-24,,,,,,,,,
12,6.6638,12.8466,6.1385,48.8768,1.0,1.0,11,5,-1.9761,9.1382,7.4954,14.0013,7.800000000000002,0.6202385425746365,0.9560554133481015,0.9658208742566272,0.9355654149423019,2017-11-25,,,,,,,,,
13,6.1612,16.1023,5.228,61.4031,1.0,1.0,11,6,1.1494,-2.1961,19.3679,-3.3871,12.09,0.5944230837174804,0.8668005641310566,0.9686842752299358,0.8319429820702061,2017-11-26,,,,,,,,,
